month,year,BVAL_10Y,BVAL_7Y,inflation,m3,m2,USGG_7Y,USGG_10Y,FED_FFR,BSP_rrp,Brent_crude_oil,BSP_rrp_est
1,2016, 4.2615 , 4.6442 ,0.7,8340.423,12469.9,1.6669,1.9209, 0.3626 ,,34.74,4
2,2016, 3.9713 , 4.3255 ,0.5,8381.153,12556.7,1.5165,1.7347, 0.3740 ,4,35.97,4
3,2016, 4.3160 , 4.3050 ,0.6,8542.003,12616.7,1.5331,1.7687, 0.3613 ,4,39.6,4
4,2016, 4.6403 , 4.0522 ,0.7,8560.865,12700.4,1.6155,1.8333, 0.3667 ,,48.13,3.5
5,2016, 4.5320 , 3.4637 ,0.9,8654.94,12766.2,1.663,1.8458, 0.3662 ,3,49.69,3
6,2016, 4.3796 , 3.1994 ,1.3,8728.059,12829.4,1.279,1.4697, 0.3768 ,3,49.68,3
7,2016, 3.9841 , 3.0495 ,1.3,8783.615,12887.7,1.2875,1.4531, 0.3955 ,,42.46,3
8,2016, 3.3157 , 3.1524 ,1.3,8729.951,12972.8,1.4551,1.58, 0.3957 ,3,47.04,3
9,2016, 3.5237 , 3.3445 ,1.7,8860.674,13033.6,1.4221,1.5944, 0.3948 ,3,49.06,3
10,2016, 3.8387 , 3.7101 ,1.8,8942.147,13100.5,1.6155,1.8255, 0.4025 ,,48.3,3
11,2016, 4.5429 , 4.6358 ,2.1,9084.236,13173.4,2.1904,2.3809, 0.4050 ,3,50.47,3
12,2016, 4.8490 , 4.9246 ,2.2,9505.978,13213.4,2.2451,2.4443, 0.5357 ,3,56.82,3
1,2017, 4.5914 , 4.5808 ,2.5,9381.195,13283.4,2.2476,2.4531, 0.6550 ,,55.7,3
2,2017, 4.5057 , 4.6943 ,3.1,9448.067,13358.8,2.2219,2.3899, 0.6553 ,3,55.59,3
3,2017, 5.0019 , 4.9982 ,3.1,9544.733,13426.9,2.2098,2.3874, 0.7865 ,3,52.83,3
4,2017, 5.2318 , 5.0269 ,3.2,9543.67,13484.9,2.0941,2.2802, 0.9060 ,,51.73,3
5,2017, 5.0054 , 4.9446 ,2.9,9652.819,13538.1,2.0168,2.2028, 0.9064 ,3,50.31,3
6,2017, 4.7118 , 4.5776 ,2.5,9898.176,13559.2,2.1402,2.3037, 1.0418 ,3,47.92,3
7,2017, 4.9428 , 4.7429 ,2.4,10004.46,13618.7,2.1129,2.2942, 1.1555 ,,52.65,3
8,2017, 4.8929 , 4.6073 ,2.6,10106.549,13673.7,1.9422,2.117, 1.1561 ,3,52.38,3
9,2017, 4.6129 , 4.3323 ,3,10173.648,13717.9,2.1685,2.3336, 1.1550 ,3,57.54,3
10,2017, 4.6790 , 4.4863 ,3.1,10293.991,13770.1,2.2306,2.3793, 1.1557 ,,61.37,3
11,2017, 5.3573 , 5.1233 ,3,10380.239,13799.9,2.3073,2.4097, 1.1557 ,3,63.57,3
12,2017, 5.6977 , 5.3486 ,2.9,10636.069,13857.9,2.3327,2.4054, 1.2985 ,3,66.87,3
1,2018, 5.8283 , 5.3312 ,3.4,10600.467,13869.7,2.6477,2.705, 1.4162 ,,69.05,3
2,2018, 5.7036 , 4.7380 ,3.7,10735.994,13912.3,2.7945,2.8606, 1.4163 ,,65.78,3
3,2018, 5.7036 , 4.7380 ,4.3,10919.092,13970.2,2.6841,2.7389, 1.5055 ,3,70.27,3
4,2018, 5.7036 , 4.7380 ,4.3,10905.992,13988.8,2.9123,2.9531, 1.6924 ,,75.17,3.125
5,2018, 5.7036 , 4.7380 ,4.6,11039.096,14047.2,2.8057,2.8586, 1.7000 ,3.25,77.59,3.25
6,2018, 5.7036 , 4.7380 ,5,11067.458,14103.6,2.8218,2.8601, 1.8210 ,3.5,79.44,3.5
7,2018, 5.7036 , 4.7380 ,5.8,11117.68,14139.2,2.9247,2.9598, 1.9100 ,,74.25,3.75
8,2018, 5.7036 , 4.7380 ,6.6,11169.66,14181.3,2.8094,2.8604, 1.9148 ,4,77.42,4
9,2018, 5.7036 , 4.7380 ,6.9,11179.447,14212.9,3.0199,3.0612, 1.9489 ,4.5,82.72,4.5
10,2018, 6.0053 , 7.7189 ,6.9,11173.516,14222.5,3.0624,3.1435, 2.1882 ,,75.47,4.625
11,2018, 7.4313 , 7.3118 ,6.1,11286.149,14236.8,2.8973,2.9879, 2.1990 ,4.75,58.71,4.75
12,2018, 7.0324 , 7.0341 ,5.2,11642.984,14362.7,2.5857,2.6842, 2.2670 ,4.75,53.8,4.75
1,2019, 6.6259 , 6.5441 ,4.4,11433.354,14430,2.5172,2.6293, 2.4000 ,,61.89,4.75
2,2019, 6.3107 , 6.1936 ,3.8,11514.811,14469.9,2.6205,2.715, 2.4000 ,4.75,66.03,4.75
3,2019, 6.0522 , 6.0358 ,3.4,11583.601,14509.9,2.3132,2.405, 2.4038 ,4.75,68.39,4.75
4,2019, 5.9371 , 5.8579 ,3.2,11666.995,14541,2.3872,2.5018, 2.4232 ,,72.8,4.625
5,2019, 5.7340 , 5.7236 ,3.2,11741.648,14643.2,2.0167,2.1246, 2.3927 ,4.5,64.49,4.5
6,2019, 5.1763 , 5.1776 ,2.7,11801.627,14757.7,1.875,2.0051, 2.3755 ,4.5,66.55,4.5
7,2019, 4.9366 , 4.9114 ,2.2,11887.876,14840.6,1.9133,2.0144, 2.4027 ,,65.17,4.375
